Naiad           Neptun                48012.00       0.29
Thalassa        Neptun                49956.40       0.31
Despina         Neptun                52499.10       0.34
Galatea         Neptun                61922.00       0.43
Larissa         Neptun                73588.40       0.56
Proteus         Neptun               117562.00       1.12
Triton          Neptun               354481.00       5.88
Nereid          Neptun              5519130.00     360.00
